; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1544803191,"CurrentTimeLocal","Fri Dec 14 07:59:51 2018","Hostname","nid01757","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 6.4e-05
; "Time_ContextDestroy [ms]", 0.000208
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,8,2,"Success",0.000575,0.117096,0.10374,0.215944,0.499353,0.493066,0.248992,0.014185,1.693713,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,9,2,"Success",0.000623,0.118897,0.106966,0.21349,0.494956,0.485669,0.236442,0.013598,1.67148,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,10,2,"Success",0.000615,0.116694,0.10324,0.222782,0.492095,0.493347,0.243386,0.013495,1.686136,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",511,513,0,11,2,"Success",0.000598,0.114932,0.108165,0.215212,0.496992,0.489761,0.236822,0.01277,1.675833,2097144,0,2097144,1.1934558199e-07,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",31,29,30,0,0,"Warmup",0.000504,0.041567,0.036064,0.023319,0.084576,0.083655,0.024054,0.013526,0.307906,215760,0,215760,6.9322935188e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",31,29,30,1,0,"Warmup",0.000484,0.040972,0.03659,0.022733,0.085752,0.08416,0.02432,0.013325,0.308865,215760,0,215760,6.9322935188e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",31,29,30,2,0,"Success",0.000564,0.040965,0.036649,0.022846,0.084963,0.083396,0.024144,0.013282,0.307394,215760,0,215760,6.9322935188e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",31,29,30,3,0,"Success",0.000458,0.040761,0.036695,0.022789,0.08499,0.083482,0.024024,0.013465,0.307145,215760,0,215760,6.9322935188e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",31,29,30,4,0,"Success",0.000471,0.040875,0.036649,0.022839,0.084672,0.083482,0.024066,0.013695,0.307193,215760,0,215760,6.9322935188e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",3,"oddshape",31,29,30,5,0,"Success",0.000916,0.041121,0.036712,0.022789,0.08401,0.083348,0.032582,0.01362,0.315659,215760,0,215760,6.9322935188e-08,0
