; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065206784,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537232419,"CurrentTimeLocal","Mon Sep 17 18:00:19 2018","Hostname","nid01799","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 5.7e-05
; "Time_ContextDestroy [ms]", 2.5e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,1,0,"Warmup",0.00013,0.016676,0.012025,5.6e-05,0.000206,5.9e-05,3.2e-05,0.000389,0.02987,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,2,0,"Success",0.000131,0.016566,0.012156,7.4e-05,0.000191,3.9e-05,3.3e-05,0.000401,0.029917,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,3,0,"Success",0.000146,0.015201,0.011083,6.4e-05,0.000196,4.9e-05,2.5e-05,0.000401,0.027449,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,4,0,"Success",0.000127,0.015599,0.011101,5.8e-05,0.00019,3.9e-05,2.5e-05,0.00036,0.02779,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,5,0,"Success",0.000159,0.015523,0.011249,7.1e-05,0.00021,4.6e-05,2.7e-05,0.00036,0.027863,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,6,0,"Success",0.000161,0.015829,0.011119,6e-05,0.000169,4.9e-05,2.6e-05,0.000371,0.028018,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,7,0,"Success",0.000113,0.0152,0.011098,5.8e-05,0.000199,4.5e-05,2.7e-05,0.000361,0.027338,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,8,0,"Success",0.000116,0.015267,0.011102,5.8e-05,0.000208,4.8e-05,3.3e-05,0.000369,0.027435,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,9,0,"Success",0.000149,0.015328,0.011077,7.6e-05,0.000203,3.2e-05,2.7e-05,0.000361,0.027485,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,10,0,"Success",0.000129,0.015225,0.011043,5.6e-05,0.000217,3.2e-05,2.7e-05,0.00035,0.027319,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000161,0.015704,0.011099,7.2e-05,0.000199,6.1e-05,2.7e-05,0.000342,0.02787,32,0,32,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000133,0.020734,0.01447,8.8e-05,0.000252,0.000189,6e-05,0.00065,0.036936,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000161,0.020814,0.015329,7.5e-05,0.000233,0.000118,3.2e-05,0.000448,0.037524,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000172,0.020388,0.015403,7e-05,0.000247,0.000116,3.2e-05,0.000357,0.037063,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000155,0.020586,0.015282,6.8e-05,0.000242,0.000103,3.2e-05,0.000431,0.037187,64,0,64,0,0
"Fftw","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000181,0.02043,0.015201,7.6e-05,0.000219,0.000125,3.4e-05,0.000426,0.036998,64,0,64,0,0
