; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1545139284,"CurrentTimeLocal","Tue Dec 18 05:21:24 2018","Hostname","nid01333","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 3.9e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",4,0,0,11,0,"Success",0.000166,0.001514,0.000682,7.1e-05,5.5e-05,6.8e-05,2.6e-05,0.00096,0.003709,32,0,32,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,0,1,"Warmup",0.000272,0.002331,0.000715,0.000136,0.000295,0.000141,6.1e-05,0.002199,0.006482,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,1,1,"Warmup",0.000242,0.001579,0.000749,6.1e-05,5.2e-05,8.2e-05,2.8e-05,0.001022,0.00401,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,2,1,"Success",0.000203,0.00151,0.000675,6.5e-05,6.7e-05,7.7e-05,1.6e-05,0.001001,0.0038,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,3,1,"Success",0.000197,0.001534,0.000704,7.4e-05,5.8e-05,6.6e-05,2.7e-05,0.000994,0.003833,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,4,1,"Success",0.000211,0.001531,0.0007,5.1e-05,5.3e-05,5.6e-05,1.6e-05,0.000975,0.003826,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,5,1,"Success",0.000185,0.001534,0.000676,7.2e-05,4.6e-05,6.4e-05,2.7e-05,0.000999,0.003794,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,6,1,"Success",0.000199,0.001448,0.000722,6.4e-05,6.3e-05,6.4e-05,2.8e-05,0.000984,0.003726,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,7,1,"Success",0.000226,0.001552,0.000673,7.3e-05,4.5e-05,6.7e-05,2.7e-05,0.000984,0.003802,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,8,1,"Success",0.000201,0.001489,0.000675,4.8e-05,5.4e-05,5.4e-05,1.6e-05,0.000993,0.00373,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,9,1,"Success",0.000196,0.001533,0.000694,6e-05,4.6e-05,5.5e-05,1.7e-05,0.000994,0.003806,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,10,1,"Success",0.000205,0.001516,0.000692,5.3e-05,5.4e-05,5.3e-05,1.6e-05,0.00099,0.003779,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",8,0,0,11,1,"Success",0.000208,0.001511,0.000714,7.3e-05,6.8e-05,6.7e-05,2.6e-05,0.000977,0.003824,64,0,64,5.6321095379e-09,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,0,2,"Warmup",0.000378,0.002862,0.000868,0.000136,0.004013,0.000242,6e-05,0.001403,0.01024,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,1,2,"Warmup",0.000211,0.001759,0.000688,7e-05,0.000132,8.8e-05,2.8e-05,0.000942,0.004149,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,2,2,"Success",0.00024,0.001668,0.000721,6e-05,0.000125,8.3e-05,3.3e-05,0.000933,0.004067,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,3,2,"Success",0.000207,0.001632,0.000687,5.9e-05,0.000119,8.2e-05,2.9e-05,0.000951,0.00396,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,4,2,"Success",0.000205,0.001649,0.000684,6.9e-05,0.000119,7.6e-05,2.8e-05,0.000945,0.00396,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,5,2,"Success",0.000216,0.001572,0.000687,6.9e-05,0.000115,7.6e-05,2.9e-05,0.000942,0.003883,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,6,2,"Success",0.000224,0.001557,0.000697,7e-05,0.000115,7.6e-05,2.9e-05,0.000945,0.003854,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,7,2,"Success",0.000219,0.001596,0.00068,5.8e-05,0.00012,7.5e-05,1.8e-05,0.000919,0.003885,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,8,2,"Success",0.000231,0.001616,0.000682,7.2e-05,0.000103,7.6e-05,2.9e-05,0.000947,0.003934,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,9,2,"Success",0.000205,0.001643,0.000681,5.9e-05,0.000116,7.6e-05,1.7e-05,0.000932,0.003947,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,10,2,"Success",0.00022,0.001653,0.000692,7.1e-05,0.000118,6.3e-05,1.7e-05,0.000951,0.003997,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",16,0,0,11,2,"Success",0.000219,0.001597,0.000702,7.1e-05,0.000104,7.5e-05,2.9e-05,0.000979,0.003954,128,0,128,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,0,3,"Warmup",0.000396,0.014788,0.000969,9.6e-05,0.00241,0.002008,4.9e-05,0.001478,0.022499,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,1,3,"Warmup",0.000252,0.002012,0.000777,8e-05,0.000155,0.000168,1.8e-05,0.001055,0.004742,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,2,3,"Success",0.000227,0.001749,0.000817,7e-05,0.000124,0.000149,3e-05,0.001044,0.004371,256,0,256,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",32,0,0,3,3,"Success",0.000211,0.001669,0.000781,6.9e-05,0.000121,0.000118,3e-05,0.001007,0.004197,256,0,256,0,0
