; "SupportedThreads",64,"UsedThreads",64,"TotalMemory",135065378816,"PlanRigor","estimate","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1537608790,"CurrentTimeLocal","Sat Sep 22 02:33:10 2018","Hostname","nid01287","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 7.3e-05
; "Time_ContextDestroy [ms]", 8.6e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,8,4,"Success",0.00021,0.001681,0.000799,9.2e-05,0.000145,0.000153,2e-05,0.001019,0.004357,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,9,4,"Success",0.000206,0.001709,0.000737,9e-05,0.000145,0.000135,3.1e-05,0.001004,0.004276,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,10,4,"Success",0.000229,0.001719,0.000767,0.000102,0.000155,0.000135,2e-05,0.00103,0.00435,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",64,0,0,11,4,"Success",0.0002,0.001708,0.000764,9.2e-05,0.00014,0.000155,3.1e-05,0.001006,0.004285,512,0,512,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,0,5,"Warmup",0.00039,0.01219,0.004744,0.000122,2.100816,0.005245,0.000135,0.002405,2.126362,1024,0,1024,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,1,5,"Warmup",0.000441,0.006767,0.004755,0.000102,0.000358,0.000295,4.7e-05,0.001088,0.014085,1024,0,1024,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,2,5,"Success",0.000281,0.005689,0.004691,7.6e-05,0.000288,0.000244,4.1e-05,0.00103,0.012561,1024,0,1024,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,3,5,"Success",0.000247,0.005595,0.004668,8.2e-05,0.000252,0.000245,4.1e-05,0.001033,0.012384,1024,0,1024,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,4,5,"Success",0.000242,0.005359,0.004388,7.7e-05,0.000247,0.000246,3.9e-05,0.000973,0.011765,1024,0,1024,0,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",1,"powerof2",128,0,0,5,5,"Success",0.000237,0.005246,0.00439,9.2e-05,0.000268,0.000243,3.9e-05,0.00099,0.011674,1024,0,1024,0,0
